JarHC Report for jarhc-check 1.0.0-SNAPSHOT
===========================================

JAR Files
---------
List of JAR files found in classpath.

JAR file                                                       | Size    | Classes | Resources | Checksum (SHA-1)                         | Artifact coordinates
identity-spi-2.26.12.jar                                       | software.amazon.awssdk.identity.spi                 | Manifest       | Yes       | -                                | [all packages]
metrics-spi-2.26.12.jar                                        | software.amazon.awssdk.metrics                      | Manifest       | Yes       | -                                | [all packages]
json-utils-2.26.12.jar                                         | software.amazon.awssdk.protocols.jsoncore           | Manifest       | Yes       | -                                | [all packages]
retries-2.26.12.jar                                            | software.amazon.awssdk.retries                      | Manifest       | Yes       | -                                | [all packages]
retries-spi-2.26.12.jar                                        | software.amazon.awssdk.retries.api                  | Manifest       | Yes       | -                                | [all packages]
crt-core-2.26.12.jar                                           | software.amazon.awssdk.crtcore                      | Manifest       | Yes       | -                                | [all packages]
arns-2.26.12.jar                                               | software.amazon.awssdk.arns                         | Manifest       | Yes       | -                                | [all packages]
profiles-2.26.12.jar                                           | software.amazon.awssdk.profiles                     | Manifest       | Yes       | -                                | [all packages]
utils-2.26.12.jar                                              | software.amazon.awssdk.utils                        | Manifest       | Yes       | -                                | [all packages]
slf4j-api-2.0.13.jar                                           | org.slf4j                                           | Module-Info    | No        | java.base                        | org.slf4j
                                                               |                                                     |                |           |                                  | org.slf4j.event
                                                               |                                                     |                |           |                                  | org.slf4j.helpers
                                                               |                                                     |                |           |                                  | org.slf4j.spi
aws-lambda-java-core-1.2.3.jar                                 | aws.lambda.java.core                                | Auto-generated | Yes       | -                                | [all packages]
aws-lambda-java-events-3.11.6.jar                              | aws.lambda.java.events                              | Auto-generated | Yes       | -                                | [all packages]
aws-xray-recorder-sdk-core-2.16.0.jar                          | com.amazonaws.xray.sdk_core                         | Manifest       | Yes       | -                                | [all packages]
asm-9.7.jar                                                    | org.objectweb.asm                                   | Module-Info    | No        | java.base                        | org.objectweb.asm
                                                               |                                                     |                |           |                                  | org.objectweb.asm.signature
json-20240303.jar                                              | org.json                                            | Module-Info    | No        | java.base                        | org.json
maven-aether-provider-3.3.9.jar                                | maven.aether.provider                               | Auto-generated | Yes       | -                                | [all packages]
aether-impl-1.1.0.jar                                          | aether.impl                                         | Auto-generated | Yes       | -                                | [all packages]
aether-connector-basic-1.1.0.jar                               | aether.connector.basic                              | Auto-generated | Yes       | -                                | [all packages]
aether-transport-file-1.1.0.jar                                | aether.transport.file                               | Auto-generated | Yes       | -                                | [all packages]
aether-util-1.1.0.jar                                          | aether.util                                         | Auto-generated | Yes       | -                                | [all packages]
aether-spi-1.1.0.jar                                           | aether.spi                                          | Auto-generated | Yes       | -                                | [all packages]
aether-api-1.1.0.jar                                           | aether.api                                          | Auto-generated | Yes       | -                                | [all packages]
maven-model-builder-3.3.9.jar                                  | maven.model.builder                                 | Auto-generated | Yes       | -                                | [all packages]
guava-33.1.0-jre.jar                                           | com.google.common                                   | Manifest       | Yes       | -                                | [all packages]
aws-java-sdk-xray-1.12.228.jar                                 | aws.java.sdk.xray                                   | Auto-generated | Yes       | -                                | [all packages]
aws-java-sdk-core-1.12.228.jar                                 | aws.java.sdk.core                                   | Auto-generated | Yes       | -                                | [all packages]
httpclient-4.5.14.jar                                          | org.apache.httpcomponents.httpclient                | Manifest       | Yes       | -                                | [all packages]
maven-model-3.3.9.jar                                          | maven.model                                         | Auto-generated | Yes       | -                                | [all packages]
maven-repository-metadata-3.3.9.jar                            | maven.repository.metadata                           | Auto-generated | Yes       | -                                | [all packages]
maven-artifact-3.3.9.jar                                       | maven.artifact                                      | Auto-generated | Yes       | -                                | [all packages]
maven-builder-support-3.3.9.jar                                | maven.builder.support                               | Auto-generated | Yes       | -                                | [all packages]
plexus-utils-3.5.1.jar                                         | plexus.utils                                        | Auto-generated | Yes       | -                                | [all packages]
commons-codec-1.16.1.jar                                       | org.apache.commons.codec                            | Module-Info    | No        | java.base                        | org.apache.commons.codec
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.binary
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.cli
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.digest
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.language
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.language.bm
                                                               |                                                     |                |           |                                  | org.apache.commons.codec.net
endpoints-spi-2.26.12.jar                                      | software.amazon.awssdk.endpoints                    | Manifest       | Yes       | -                                | [all packages]
checksums-2.26.12.jar                                          | software.amazon.awssdk.checksums                    | Manifest       | Yes       | -                                | [all packages]
checksums-spi-2.26.12.jar                                      | software.amazon.awssdk.checksums.spi                | Manifest       | Yes       | -                                | [all packages]
annotations-2.26.12.jar                                        | software.amazon.awssdk.annotations                  | Manifest       | Yes       | -                                | [all packages]
third-party-jackson-core-2.26.12.jar                           | software.amazon.awssdk.thirdparty.jackson.core      | Manifest       | Yes       | -                                | [all packages]
joda-time-2.10.8.jar                                           | org.joda.time                                       | Manifest       | Yes       | -                                | [all packages]
plexus-component-annotations-1.6.jar                           | plexus.component.annotations                        | Auto-generated | Yes       | -                                | [all packages]
commons-lang3-3.4.jar                                          | commons.lang3                                       | Auto-generated | Yes       | -                                | [all packages]
failureaccess-1.0.2.jar                                        | com.google.common.util.concurrent.internal          | Manifest       | Yes       | -                                | [all packages]
listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar | listenablefuture.empty.to.avoid.conflict.with.guava | Auto-generated | Yes       | -                                | [all packages]
jsr305-3.0.2.jar                                               | jsr305                                              | Auto-generated | Yes       | -                                | [all packages]
checker-qual-3.42.0.jar                                        | org.checkerframework.checker.qual                   | Manifest       | Yes       | -                                | [all packages]
error_prone_annotations-2.26.1.jar                             | com.google.errorprone.annotations                   | Module-Info    | No        | java.compiler                    | com.google.errorprone.annotations
                                                               |                                                     |                |           | java.base                        | com.google.errorprone.annotations.concurrent
httpcore-4.4.16.jar                                            | org.apache.httpcomponents.httpcore                  | Manifest       | Yes       | -                                | [all packages]
jmespath-java-1.12.228.jar                                     | jmespath.java                                       | Auto-generated | Yes       | -                                | [all packages]
plexus-interpolation-1.21.jar                                  | plexus.interpolation                                | Auto-generated | Yes       | -                                | [all packages]
reactive-streams-1.0.4.jar                                     | org.reactivestreams                                 | Manifest       | Yes       | -                                | [all packages]
eventstream-1.0.1.jar                                          | software.amazon.eventstream                         | Manifest       | Yes       | -                                | [all packages]
ion-java-1.0.2.jar                                             | ion.java                                            | Auto-generated | Yes       | -                                | [all packages]
jackson-annotations-2.12.6.jar                                 | com.fasterxml.jackson.annotation                    | Module-Info    | No        | java.base                        | com.fasterxml.jackson.annotation
jackson-core-2.12.6.jar                                        | com.fasterxml.jackson.core                          | Module-Info    | No        | java.base                        | com.fasterxml.jackson.core
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.async
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.base
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.exc
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.filter
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.format
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.io
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.json
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.json.async
